,dates,confirmed,deceased,recovered
0,2020-01-30,1,0,0
1,2020-01-31,0,0,0
2,2020-02-01,0,0,0
3,2020-02-02,1,0,0
4,2020-02-03,1,0,0
5,2020-02-04,0,0,0
6,2020-02-05,0,0,0
7,2020-02-06,0,0,0
8,2020-02-07,0,0,0
9,2020-02-08,0,0,0
10,2020-02-09,0,0,0
11,2020-02-10,0,0,0
12,2020-02-11,0,0,0
13,2020-02-12,0,0,0
14,2020-02-13,0,0,1
15,2020-02-14,0,0,0
16,2020-02-15,0,0,0
17,2020-02-16,0,0,1
18,2020-02-17,0,0,0
19,2020-02-18,0,0,0
20,2020-02-19,0,0,0
21,2020-02-20,0,0,1
22,2020-02-21,0,0,0
23,2020-02-22,0,0,0
24,2020-02-23,0,0,0
25,2020-02-24,0,0,0
26,2020-02-25,0,0,0
27,2020-02-26,0,0,0
28,2020-02-27,0,0,0
29,2020-02-28,0,0,0
30,2020-02-29,0,0,0
31,2020-03-01,0,0,0
32,2020-03-02,2,0,0
33,2020-03-03,1,0,0
34,2020-03-04,22,0,0
35,2020-03-05,2,0,0
36,2020-03-06,1,0,0
37,2020-03-07,3,0,0
38,2020-03-08,5,0,0
39,2020-03-09,9,0,0
40,2020-03-10,15,0,1
41,2020-03-11,8,0,0
42,2020-03-12,10,1,0
43,2020-03-13,10,0,6
44,2020-03-14,11,1,0
45,2020-03-15,10,0,3
46,2020-03-16,14,0,1
47,2020-03-17,20,1,1
48,2020-03-18,25,0,0
49,2020-03-19,27,1,5
50,2020-03-20,58,0,3
51,2020-03-21,78,0,0
52,2020-03-22,69,3,0
53,2020-03-23,94,2,2
54,2020-03-24,74,1,15
55,2020-03-25,86,1,3
56,2020-03-26,73,5,7
57,2020-03-27,153,3,25
58,2020-03-28,136,5,10
59,2020-03-29,120,3,17
60,2020-03-30,187,14,35
61,2020-03-31,309,6,13
62,2020-04-01,424,6,19
63,2020-04-02,486,16,22
64,2020-04-03,560,14,39
65,2020-04-04,579,13,56
66,2020-04-05,609,22,43
67,2020-04-06,484,16,65
68,2020-04-07,573,27,75
69,2020-04-08,565,20,96
70,2020-04-09,813,46,70
71,2020-04-10,871,22,151
72,2020-04-11,854,41,186
73,2020-04-12,758,42,114
74,2020-04-13,1243,27,112
75,2020-04-14,1031,37,167
76,2020-04-15,886,27,144
77,2020-04-16,1061,26,258
78,2020-04-17,922,38,273
79,2020-04-18,1371,35,426
80,2020-04-19,1580,38,388
81,2020-04-20,1239,33,419
82,2020-04-21,1537,53,703
83,2020-04-22,1292,36,394
84,2020-04-23,1667,40,642
85,2020-04-24,1408,59,484
86,2020-04-25,1835,44,442
87,2020-04-26,1607,56,585
88,2020-04-27,1568,58,580
89,2020-04-28,1902,69,636
90,2020-04-29,1705,71,690
91,2020-04-30,1801,75,630
92,2020-05-01,2396,77,962
93,2020-05-02,2564,92,831
94,2020-05-03,2952,140,911
95,2020-05-04,3656,103,1082
96,2020-05-05,2971,128,1295
97,2020-05-06,3602,91,1161
98,2020-05-07,3344,104,1475
99,2020-05-08,3339,97,1111
100,2020-05-09,3175,115,1414
101,2020-05-10,4311,112,1669
102,2020-05-11,3592,81,1579
103,2020-05-12,3562,120,1905
104,2020-05-13,3726,137,1963
105,2020-05-14,3991,97,1594
106,2020-05-15,3808,104,2234
107,2020-05-16,4794,120,4012
108,2020-05-17,5049,152,2538
109,2020-05-18,4628,131,2482
110,2020-05-19,6154,146,3032
111,2020-05-20,5720,134,3113
112,2020-05-21,6023,148,3131
113,2020-05-22,6536,142,3280
114,2020-05-23,6667,142,2576
115,2020-05-24,7111,156,3285
116,2020-05-25,6414,150,3012
117,2020-05-26,5907,173,3585
118,2020-05-27,7246,188,3434
119,2020-05-28,7254,176,3171
120,2020-05-29,8138,269,11735
121,2020-05-30,8364,205,4303
122,2020-05-31,8789,222,4928
123,2020-06-01,7723,201,3882
124,2020-06-02,8812,222,4531
125,2020-06-03,9689,259,3789
126,2020-06-04,9847,274,4390
127,2020-06-05,9472,286,4770
128,2020-06-06,10408,297,5433
129,2020-06-07,10882,261,5191
130,2020-06-08,8536,271,5171
131,2020-06-09,9981,272,5634
132,2020-06-10,11156,358,6275
133,2020-06-11,11135,394,6044
134,2020-06-12,11306,388,7263
135,2020-06-13,12039,309,8092
136,2020-06-14,11405,324,7358
137,2020-06-15,10032,396,10639
138,2020-06-16,11086,2004,7226
139,2020-06-17,13108,341,6890
140,2020-06-18,13829,343,10741
141,2020-06-19,14740,364,9029
142,2020-06-20,15918,308,13974
143,2020-06-21,15151,426,9075
144,2020-06-22,13560,312,10879
145,2020-06-23,15656,468,10462
146,2020-06-24,16868,424,13089
147,2020-06-25,18205,401,13983
148,2020-06-26,18255,381,10246
149,2020-06-27,20142,414,14229
150,2020-06-28,19610,384,11631
151,2020-06-29,18339,417,13497
152,2020-06-30,18256,506,12565
153,2020-07-01,19429,438,12064
154,2020-07-02,21947,378,19999
155,2020-07-03,22718,444,14417
156,2020-07-04,24018,611,14746
157,2020-07-05,23942,421,15829
158,2020-07-06,22500,473,15315
159,2020-07-07,23147,479,16836
160,2020-07-08,25561,492,19508
161,2020-07-09,25790,479,19408
162,2020-07-10,27762,520,20289
163,2020-07-11,27757,543,19981
164,2020-07-12,29106,500,18198
165,2020-07-13,28178,541,17683
166,2020-07-14,29917,587,20977
167,2020-07-15,32607,614,20646
168,2020-07-16,35468,680,22867
169,2020-07-17,34820,676,17476
170,2020-07-18,37411,543,23583
171,2020-07-19,40235,675,22730
172,2020-07-20,36806,596,24303
173,2020-07-21,39170,671,27589
174,2020-07-22,45601,1130,31875
175,2020-07-23,48443,755,33326
176,2020-07-24,48888,763,32514
177,2020-07-25,50072,703,37125
178,2020-07-26,48932,704,31512
179,2020-07-27,46484,642,34354
180,2020-07-28,49631,774,35683
181,2020-07-29,52479,775,32886
182,2020-07-30,54968,784,37425
183,2020-07-31,57486,764,36554
184,2020-08-01,55117,854,51368
185,2020-08-02,52672,760,40355
186,2020-08-03,50488,806,43070
187,2020-08-04,51282,849,51220
188,2020-08-05,56626,919,45583
189,2020-08-06,62170,899,50141
190,2020-08-07,61455,936,50387
191,2020-08-08,65156,875,52135
192,2020-08-09,62117,1013,54474
193,2020-08-10,53016,887,47362
194,2020-08-11,61252,835,56461
195,2020-08-12,67066,950,57759
196,2020-08-13,64141,1006,54776
197,2020-08-14,65610,989,56920
198,2020-08-15,63986,952,53116
199,2020-08-16,58096,952,57404
200,2020-08-17,54298,880,58172
201,2020-08-18,65024,1099,60455
202,2020-08-19,69196,979,59365
203,2020-08-20,68518,981,61873
204,2020-08-21,69029,953,62858
205,2020-08-22,70067,918,59101
206,2020-08-23,61749,846,56896
207,2020-08-24,59696,854,66305
208,2020-08-25,66873,1066,64151
209,2020-08-26,75995,1017,56191
210,2020-08-27,76827,1066,59620
211,2020-08-28,76657,1019,64475
212,2020-08-29,78479,943,64982
213,2020-08-30,79461,960,60422
214,2020-08-31,68766,816,64435
215,2020-09-01,78168,892,62145
216,2020-09-02,82860,913,67874
217,2020-09-03,84156,979,67491
218,2020-09-04,87115,950,69625
219,2020-09-05,90600,916,73161
220,2020-09-06,91725,1005,69630
221,2020-09-07,75015,1129,74116
222,2020-09-08,89855,1107,74608
223,2020-09-09,95536,1168,73062
224,2020-09-10,96762,1213,70904
225,2020-09-11,97655,1202,81456
226,2020-09-12,94414,1111,77862
227,2020-09-13,93220,1140,77748
228,2020-09-14,81913,1054,79213
229,2020-09-15,91098,1281,82849
230,2020-09-16,97860,1140,82924
231,2020-09-17,96787,1175,87788
232,2020-09-18,92973,1221,95515
233,2020-09-19,92574,1149,94389
234,2020-09-20,87395,1135,92926
235,2020-09-21,74493,1056,102070
236,2020-09-22,83362,1085,89657
237,2020-09-23,86703,1123,87459
238,2020-09-24,85921,1144,81142
239,2020-09-25,85717,1093,93331
240,2020-09-26,88759,1124,92365
241,2020-09-27,82770,1040,74691
242,2020-09-28,69669,775,85198
243,2020-09-29,80500,1178,86150
244,2020-09-30,86748,1179,85274
245,2020-10-01,81784,1099,78731
246,2020-10-02,79883,1068,76339
247,2020-10-03,75479,937,81655
248,2020-10-04,74770,903,76713
249,2020-10-05,60130,886,75855
250,2020-10-06,71869,990,81945
251,2020-10-07,78809,963,83209
252,2020-10-08,70797,967,78745
253,2020-10-09,73305,929,82628
254,2020-10-10,74418,921,89024
255,2020-10-11,67789,813,71565
256,2020-10-12,54262,710,78365
257,2020-10-13,63717,727,74079
258,2020-10-14,67811,690,81582
259,2020-10-15,63441,882,70792
260,2020-10-16,62304,840,70568
261,2020-10-17,61893,1032,72583
262,2020-10-18,56519,582,66418
263,2020-10-19,45506,589,69800
264,2020-10-20,54348,714,61828
265,2020-10-21,56264,701,79561
266,2020-10-22,54371,686,74569
267,2020-10-23,53931,655,66994
268,2020-10-24,50366,578,62270
269,2020-10-25,45922,483,59304
270,2020-10-26,36019,485,63734
271,2020-10-27,43036,511,58429
272,2020-10-28,50188,515,56594
273,2020-10-29,48765,562,57867
274,2020-10-30,48117,550,59005
275,2020-10-31,47228,469,58682
276,2020-11-01,45928,491,53312
277,2020-11-02,37592,498,58524
278,2020-11-03,46027,510,53328
279,2020-11-04,50465,707,55873
280,2020-11-05,47628,672,54133
281,2020-11-06,50017,577,53946
282,2020-11-07,46153,557,48582
283,2020-11-08,46707,491,48465
284,2020-11-09,37119,450,41449
285,2020-11-10,44724,511,54639
286,2020-11-11,48285,550,52704
287,2020-11-12,44585,544,49354
288,2020-11-13,44620,517,47620
289,2020-11-14,41692,450,42317
290,2020-11-15,30681,434,44111
291,2020-11-16,28609,451,40392
292,2020-11-17,38548,472,44753
293,2020-11-18,45366,586,48675
294,2020-11-19,46185,582,45246
295,2020-11-20,46283,564,48968
296,2020-11-21,45301,499,44055
297,2020-11-22,44404,510,41405
298,2020-11-23,37441,481,42195
299,2020-11-24,44245,489,37765
300,2020-11-25,44699,518,36582
301,2020-11-26,43174,491,39723
302,2020-11-27,41353,486,41177
303,2020-11-28,41815,495,42275
304,2020-11-29,39036,444,45152
305,2020-11-30,31179,482,42282
306,2020-12-01,36474,501,43208
307,2020-12-02,35506,526,40908
308,2020-12-03,36574,541,42991
309,2020-12-04,36711,511,42359
310,2020-12-05,36010,482,41885
311,2020-12-06,33178,390,39078
312,2020-12-07,26227,386,39293
313,2020-12-08,32083,402,36583
314,2020-12-09,31637,413,37693
315,2020-12-10,29411,411,37707
316,2020-12-11,29961,442,33492
317,2020-12-12,30354,391,33087
318,2020-12-13,27336,338,30640
319,2020-12-14,21941,354,34421
320,2020-12-15,26251,384,33853
321,2020-12-16,18172,356,33360
322,2020-12-17,26754,342,30891
323,2020-12-18,26991,342,29879
324,2020-12-19,26834,342,29758
325,2020-12-20,24622,332,25734
326,2020-12-21,19147,302,30250
327,2020-12-22,23880,329,27032
328,2020-12-23,24716,315,29946
329,2020-12-24,23444,337,24555
330,2020-12-25,22349,251,22184
331,2020-12-26,18575,280,21466
332,2020-12-27,20333,281,21097
333,2020-12-28,16072,250,24822
334,2020-12-29,20542,285,26589
335,2020-12-30,21945,299,26407
336,2020-12-31,19026,244,21969
337,2021-01-01,20159,237,23838
338,2021-01-02,18144,216,20903
339,2021-01-03,16678,215,19658
340,2021-01-04,16278,200,29209
341,2021-01-05,17909,265,21161
342,2021-01-06,20472,222,19689
343,2021-01-07,18123,233,20503
344,2021-01-08,18453,229,19242
345,2021-01-09,18820,213,19460
346,2021-01-10,16086,150,16737
347,2021-01-11,12481,166,18578
348,2021-01-12,15903,200,17762
349,2021-01-13,17015,201,17797
350,2021-01-14,15677,189,15943
351,2021-01-15,15155,176,16809
352,2021-01-16,15050,181,17202
353,2021-01-17,13962,145,14513
354,2021-01-18,9987,137,17127
355,2021-01-19,13787,162,17229
356,2021-01-20,15279,152,20071
357,2021-01-21,14495,161,17734
358,2021-01-22,14323,153,17166
359,2021-01-23,14896,156,16033
360,2021-01-24,13232,131,13148
361,2021-01-25,9098,116,16092
362,2021-01-26,12733,138,13250
363,2021-01-27,11556,123,14261
364,2021-01-28,18912,162,20315
365,2021-01-29,13054,137,14886
366,2021-01-30,13073,128,14077
367,2021-01-31,11527,116,11882
368,2021-02-01,8579,94,13443
369,2021-02-02,11001,113,14250
370,2021-02-03,12925,107,17813
371,2021-02-04,12401,120,15788
372,2021-02-05,11711,95,14512
373,2021-02-06,12069,75,11761
374,2021-02-07,11786,86,11756
375,2021-02-08,8689,77,13575
376,2021-02-09,10731,94,12928
377,2021-02-10,12539,110,11796
378,2021-02-11,9353,85,15722
379,2021-02-12,12137,104,11358
380,2021-02-13,12191,89,11107
381,2021-02-14,11431,87,9267
