states,districts,active,confirmed,deceased,recovered
Andhra Pradesh,Foreign Evacuees,0,434,0,434
Andhra Pradesh,Anantapur,22,67689,599,67068
Andhra Pradesh,Chittoor,166,87200,847,86187
Andhra Pradesh,East Godavari,79,124356,636,123641
Andhra Pradesh,Guntur,62,75609,671,74876
Andhra Pradesh,Krishna,138,48814,679,47997
Andhra Pradesh,Kurnool,19,60846,489,60338
Andhra Pradesh,Other State,0,2461,0,2461
Andhra Pradesh,Prakasam,55,62193,580,61558
Andhra Pradesh,S.P.S. Nellore,62,62392,507,61823
Andhra Pradesh,Srikakulam,9,46162,347,45806
Andhra Pradesh,Visakhapatnam,46,59922,564,59312
Andhra Pradesh,Vizianagaram,13,41148,238,40897
Andhra Pradesh,West Godavari,42,94277,542,93693
Andhra Pradesh,Y.S.R. Kadapa,84,55311,463,54764
Arunachal Pradesh,Anjaw,0,204,0,204
Arunachal Pradesh,Changlang,0,1282,4,1278
Arunachal Pradesh,East Kameng,0,304,0,304
Arunachal Pradesh,East Siang,0,1144,4,1140
Arunachal Pradesh,Kamle,0,30,0,30
Arunachal Pradesh,Kra Daadi,0,37,0,37
Arunachal Pradesh,Kurung Kumey,0,117,0,117
Arunachal Pradesh,Lepa Rada,0,286,0,286
Arunachal Pradesh,Lohit,1,573,0,572
Arunachal Pradesh,Longding,0,250,0,250
Arunachal Pradesh,Lower Dibang Valley,0,475,0,475
Arunachal Pradesh,Lower Siang,0,287,0,287
Arunachal Pradesh,Lower Subansiri,0,381,1,380
Arunachal Pradesh,Namsai,1,431,4,426
Arunachal Pradesh,Pakke Kessang,0,132,0,132
Arunachal Pradesh,Papum Pare,0,6779,29,6750
Arunachal Pradesh,Shi Yomi,0,104,0,104
Arunachal Pradesh,Siang,0,133,1,132
Arunachal Pradesh,Tawang,0,492,2,490
Arunachal Pradesh,Tirap,0,587,2,585
Arunachal Pradesh,Upper Dibang Valley,0,23,0,23
Arunachal Pradesh,Upper Siang,0,361,0,361
Arunachal Pradesh,Upper Subansiri,0,441,2,439
Arunachal Pradesh,West Kameng,1,949,4,944
Arunachal Pradesh,West Siang,1,1030,3,1026
Assam,Airport Quarantine,0,13,0,13
Assam,Baksa,233,687,7,447
Assam,Barpeta,84,1121,13,1024
Assam,Biswanath,81,468,8,379
Assam,Bongaigaon,462,1303,7,834
Assam,Cachar,4701,6242,43,1498
Assam,Charaideo,0,116,11,105
Assam,Chirang,53,280,8,219
Assam,Darrang,219,1967,18,1730
Assam,Dhemaji,317,765,8,440
Assam,Dhubri,496,1723,12,1215
Assam,Dibrugarh,7059,9570,102,2409
Assam,Dima Hasao,40,241,2,199
Assam,Goalpara,38,665,10,568
Assam,Golaghat,2107,3809,46,1656
Assam,Hailakandi,511,1634,7,1116
Assam,Hojai,472,1646,14,1160
Assam,Jorhat,6968,8774,54,1752
Assam,Kamrup,2484,4593,35,2074
Assam,Kamrup Metropolitan,34990,50512,152,15370
Assam,Karbi Anglong,69,632,11,552
Assam,Karimganj,225,1206,26,955
Assam,Kokrajhar,49,414,12,353
Assam,Lakhimpur,1847,3006,24,1135
Assam,Majuli,79,165,6,80
Assam,Morigaon,72,638,9,557
Assam,Nagaon,1999,4531,26,2506
Assam,Nalbari,103,948,17,828
Assam,Other State,0,1,0,1
Assam,Sivasagar,21,529,35,473
Assam,Sonitpur,812,2558,19,1727
Assam,South Salmara Mankachar,5,53,1,47
Assam,Tinsukia,1540,3381,43,1798
Assam,Udalguri,84,758,8,666
Assam,West Karbi Anglong,1,39,1,37
Assam,Unknown,-67960,102297,291,168619
Bihar,Araria,2,7252,22,7228
Bihar,Arwal,7,2428,12,2409
Bihar,Aurangabad,30,5527,16,5481
Bihar,Banka,13,3595,20,3562
Bihar,Begusarai,15,8116,36,8065
Bihar,Bhagalpur,8,9549,80,9461
Bihar,Bhojpur,3,5108,48,5057
Bihar,Buxar,2,4025,20,4003
Bihar,Darbhanga,9,4259,39,4211
Bihar,East Champaran,13,8450,53,8384
Bihar,Gaya,47,8085,60,7978
Bihar,Gopalganj,6,5821,15,5800
Bihar,Jamui,8,3166,10,3148
Bihar,Jehanabad,3,4583,25,4555
Bihar,Kaimur,0,2255,10,2245
Bihar,Katihar,3,7227,12,7212
Bihar,Khagaria,1,3133,14,3118
Bihar,Kishanganj,3,4319,13,4303
Bihar,Lakhisarai,4,3841,9,3828
Bihar,Madhepura,9,4877,17,4851
